product_code,product_name,product_img_name,product_category
AB1000,Aglaonema,"""Aglaonema.jpg""",indoor
AB1001,Arborea,"""Arborea.jpg""",indoor
AB1002,Bonsai (1 of 1),"""Bonsai (1 of 1).jpg""",indoor
AB1003,Boston Fern,"""Boston Fern.jpg""",indoor
AB1004,Dracaena Margenata,"""Dracaena Margenata.jpg""",indoor
AB1005,Dracaena Tarzan,"""Dracaena Tarzan.jpg""",indoor
AB1006,Dracaena art,"""Dracaena art.jpg""",indoor
AB1007,Emerald Gem,"""Emerald Gem.jpg""",indoor
AB1008,Fabian Aralia,"""Fabian Aralia.jpg""",indoor
AB1009,Ficus Daniella,"""Ficus Daniella.jpg""",indoor
AB1010,Fiddle leaf fig (Ficus Lyrata),"""Fiddle leaf fig (Ficus Lyrata).jpg""",indoor
AB1011,J.C. Coxpacta #1,"""J.C. Coxpacta #1.jpg""",indoor
AB1012,J.C. Coxpacta #2,"""J.C. Coxpacta #2.jpg""",indoor
AB1013,Lisa Crane Dracaena,"""Lisa Crane Dracaena.jpg""",indoor
AB1014,Myrtle Topiaries,"""Myrtle Topiaries.jpg""",indoor
AB1015,Peace Lily #1,"""Peace Lily #1.jpg""",indoor
AB1016,Peace Lily #2,"""Peace Lily #2.jpg""",indoor
AB1017,Philodendron Selloum,"""Philodendron Selloum.jpg""",indoor
AB1018,Pontail Palm (1 of 1),"""Pontail Palm (1 of 1).jpg""",indoor
AB1019,Pothos pole,"""Pothos pole.jpg""",indoor
AB1020,Pothos,"""Pothos.jpg""",indoor
AB1021,Reflexa,"""Reflexa.jpg""",indoor
AB1022,Rubber Plant #1,"""Rubber Plant #1.jpg""",indoor
AB1023,Rubber Plant #2,"""Rubber Plant #2.jpg""",indoor
AB1024,Rubber Plant #3,"""Rubber Plant #3.jpg""",indoor
AB1025,Sago Palm,"""Sago Palm.jpg""",indoor
AB1026,Snake plant,"""Snake plant.jpg""",indoor
AB1027,White Bird of Paradise,"""White Bird of Paradise.jpg""",indoor
AB1028,Yucca,"""Yucca.jpg""",indoor
AB1029,Z. Z. plant #1,"""Z. Z. plant #1.jpg""",indoor
AB1030,Z. Z. plant #2,"""Z. Z. plant #2.jpg""",indoor
AB1031,desktop.ini,"""desktop.ini""",indoor
AB1032,Agave #2,"""Agave #2.jpg""",cactus
AB1033,Agave,"""Agave.jpg""",cactus
AB1034,Cactus,"""Cactus.jpg""",cactus
AB1035,Column Cactus #1,"""Column Cactus #1.jpg""",cactus
AB1036,Column Cactus #2,"""Column Cactus #2.jpg""",cactus
AB1037,Euphorbia,"""Euphorbia.jpg""",cactus
AB1038,Jade #1,"""Jade #1.jpg""",cactus
AB1039,Jade #2,"""Jade #2.jpg""",cactus
AB1040,Paddle Cactus,"""Paddle Cactus.jpg""",cactus
AB1041,Pencil Cactus #1,"""Pencil Cactus #1.jpg""",cactus
AB1042,Pencil Cactus #2,"""Pencil Cactus #2.jpg""",cactus
AB1043,Succulent #1,"""Succulent #1.jpg""",cactus
AB1044,Succulent #2,"""Succulent #2.jpg""",cactus
AB1045,Succulent #3,"""Succulent #3.jpg""",cactus
AB1046,Succulent mix #1,"""Succulent mix #1.jpg""",cactus
AB1047,Succulent mix #2,"""Succulent mix #2.jpg""",cactus
AB1048,Succulent mix #3,"""Succulent mix #3.jpg""",cactus
AB1049,desktop.ini,"""desktop.ini""",cactus
AB1050,Boxwood,"""Boxwood.jpg""",outdoor
AB1051,Boxwoods,"""Boxwoods.jpg""",outdoor
AB1052,Cone Boxwood,"""Cone Boxwood.jpg""",outdoor
AB1053,Double Ball Boxwood,"""Double Ball Boxwood.jpg""",outdoor
AB1054,Golden Euonymus,"""Golden Euonymus.jpg""",outdoor
AB1055,Hydrangea,"""Hydrangea.jpg""",outdoor
AB1056,Pompom Boxwood,"""Pompom Boxwood.jpg""",outdoor
AB1057,Single Ball Topiary Boxwood,"""Single Ball Topiary Boxwood.jpg""",outdoor
AB1058,Spiral Boxwood,"""Spiral Boxwood.jpg""",outdoor
AB1059,Three Ball Topiary Boxwood,"""Three Ball Topiary Boxwood.jpg""",outdoor
AB1060,desktop.ini,"""desktop.ini""",outdoor
AB1061,Air Plants #1,"""Air Plants #1.jpg""",uncategorized
AB1062,Air Plants #2,"""Air Plants #2.jpg""",uncategorized
AB1063,Aloe,"""Aloe.jpg""",uncategorized
AB1064,Crispy wave fern,"""Crispy wave fern.jpg""",uncategorized
AB1065,Ivy flat,"""Ivy flat.jpg""",uncategorized
AB1066,Ivy,"""Ivy.jpg""",uncategorized
AB1067,Kalanchoe,"""Kalanchoe.jpg""",uncategorized
AB1068,Kentia palm,"""Kentia palm.jpg""",uncategorized
AB1069,Lemon Lime Dracaena,"""Lemon Lime Dracaena.jpg""",uncategorized
AB1070,Money tree (1 of 1),"""Money tree (1 of 1).jpg""",uncategorized
AB1071,Stephanotis,"""Stephanotis.jpg""",uncategorized
AB1072,unknown,"""unknown.jpg""",uncategorized
AB1073,Store (1 of 1),"""Store (1 of 1).jpg""",seasonal
AB1074,Store (2 of 1),"""Store (2 of 1).jpg""",seasonal
AB1075,Store (3 of 1),"""Store (3 of 1).jpg""",seasonal
AB1076,Store (4 of 1),"""Store (4 of 1).jpg""",seasonal
AB1077,Store (5 of 1),"""Store (5 of 1).jpg""",seasonal
AB1078,Store (6 of 1),"""Store (6 of 1).jpg""",seasonal
AB1079,Store (7 of 1),"""Store (7 of 1).jpg""",seasonal
AB1080,Store (8 of 1),"""Store (8 of 1).jpg""",seasonal
AB1081,Orchid #3,"""Orchid #3.jpg""",orchids
AB1082,Orchid #4,"""Orchid #4.jpg""",orchids
AB1083,Orchid #5,"""Orchid #5.jpg""",orchids
AB1084,Orchids #1,"""Orchids #1.jpg""",orchids
AB1085,Orchids #2,"""Orchids #2.jpg""",orchids
AB1086,Set of 5 Orchids,"""Set of 5 Orchids.jpg""",orchids
AB1087,Set of three orchids,"""Set of three orchids.jpg""",orchids
AB1088,Set of two orchids,"""Set of two orchids.jpg""",orchids
AB1089,Single Orchid,"""Single Orchid.jpg""",orchids
AB1090,desktop.ini,"""desktop.ini""",orchids
AB1091,Areca Palm,"""Areca Palm.jpg""",Rental
